Parameter,Value
num_simulations,4
num_iterations,100
prob_spread,0.4
wind_direction,None
wind_intensity,0.0
num_obstacles,10
start_date,2015-02-10
end_date,2015-02-11
location,Chingaza National Park
display_simulations,False
auto_close_simulations,False
custom_csv_name,False
csv_name,results.csv
simulation_mode,hourly

Hourly Parameters
temperature_2m,True
relative_humidity_2m,True
wind_speed_10m,True
wind_direction_10m,True
soil_temperature_0_to_7cm,True
soil_temperature_7_to_28cm,True

Simulation,Burnt Trees,Iterations to Extinguish,Max Fire Size
0,38,12,29
1,46,9,23
2,38,10,23
3,33,7,23
