Parameter,Value
num_simulations,10
num_iterations,100
prob_spread,0.5
wind_direction,None
wind_intensity,0.0
num_obstacles,10
start_date,2015-02-10
end_date,2015-02-11
location,Chingaza National Park
display_simulations,False
auto_close_simulations,False
custom_csv_name,False
csv_name,results.csv
simulation_mode,hourly

Hourly Parameters
temperature_2m,True
relative_humidity_2m,True
wind_speed_10m,True
wind_direction_10m,True
soil_temperature_0_to_7cm,True
soil_temperature_7_to_28cm,True

Simulation,Burnt Trees,Iterations to Extinguish,Max Fire Size
0,22,7,20
1,494,83,488
2,249,51,206
3,92,18,92
4,277,46,277
5,141,27,92
6,775,95,774
7,77,16,76
8,320,42,320
9,503,42,503
