Parameter,Value
num_simulations,7
num_iterations,100
prob_spread,0.5
wind_direction,None
wind_intensity,0.0
num_obstacles,10
start_date,2015-02-10
end_date,2015-02-11
location,Chingaza National Park
display_simulations,False
auto_close_simulations,False
custom_csv_name,False
csv_name,results.csv
simulation_mode,hourly

Hourly Parameters
temperature_2m,True
relative_humidity_2m,True
wind_speed_10m,True
wind_direction_10m,True
soil_temperature_0_to_7cm,True
soil_temperature_7_to_28cm,True

Simulation,Burnt Trees,Iterations to Extinguish,Max Fire Size
0,638,62,638
1,534,61,534
2,438,45,310
3,419,68,368
4,290,50,174
5,564,61,534
6,634,89,633
